Day,Return
1,2595.3237810331634
2,2586.8395377990623
3,2603.748914112755
4,2604.3193623954526
5,2624.240300884953
6,2621.4870490928092
7,2608.3440207523267
8,2602.532018879199
9,2601.3040554857303
10,2594.498233236764
11,2601.827987175179
12,2595.1535170450584
13,2627.0379778779884
14,2619.9482342658475
15,2618.3070908186173
16,2619.1643890422492
17,2574.551324032506
18,2561.61295188326
19,2532.8744059536566
20,2490.010927229895
21,2512.200531874604
22,2514.2529429960973
23,2519.732591649935
24,2519.60410097148
25,2521.7116755094708
26,2518.1355521183777
27,2518.0197530894657
28,2434.8003543970085
29,2287.551173750225
